Relative_x,Smoothed_lq6,Std_lq6
-2.000000000000000000e+01,2.247563580361725544e-01,1.245800780897925869e-01
-1.989999999999999858e+01,2.247687223972311688e-01,1.257382285336874628e-01
-1.979999999999999716e+01,2.247835425506033435e-01,1.254553881431103857e-01
-1.969999999999999574e+01,2.248009928219821818e-01,1.263367970392155204e-01
-1.959999999999999432e+01,2.248211621690368311e-01,1.251405049459036467e-01
-1.949999999999999289e+01,2.248440341706903212e-01,1.282962978577191215e-01
-1.939999999999999147e+01,2.248694766403696588e-01,1.272999389395725600e-01
-1.929999999999999005e+01,2.248972426443153483e-01,1.250124213464687273e-01
-1.919999999999998863e+01,2.249269834988540384e-01,1.255508796453275455e-01
-1.909999999999998721e+01,2.249582730436795464e-01,1.270190218544270944e-01
-1.899999999999998579e+01,2.249906412656976773e-01,1.271037424832726637e-01
-1.889999999999998437e+01,2.250236142895111480e-01,1.264171248411530279e-01
-1.879999999999998295e+01,2.250567569468072404e-01,1.262896252400510511e-01
-1.869999999999998153e+01,2.250897136586048897e-01,1.248965034877943941e-01
-1.859999999999998010e+01,2.251222432620365865e-01,1.269922993691158797e-01
-1.849999999999997868e+01,2.251542437169351540e-01,1.255453598256693337e-01
-1.839999999999997726e+01,2.251857633428766270e-01,1.261511323270426421e-01
-1.829999999999997584e+01,2.252169963420491139e-01,1.239925510395079311e-01
-1.819999999999997442e+01,2.252482618000834214e-01,1.270791524687315821e-01
-1.809999999999997300e+01,2.252799670278766153e-01,1.248702232347980445e-01
-1.799999999999997158e+01,2.253125578713442712e-01,1.258281793864743925e-01
-1.789999999999997016e+01,2.253464602919814930e-01,1.244856830300003908e-01
-1.779999999999996874e+01,2.253820189004707986e-01,1.248544588170361902e-01
-1.769999999999996732e+01,2.254194389948940280e-01,1.251582354423480536e-01
-1.759999999999996589e+01,2.254587388282678351e-01,1.252738022094011250e-01
-1.749999999999996447e+01,2.254997181863156175e-01,1.249817293745622421e-01
-1.739999999999996305e+01,2.255419478769189467e-01,1.225882714961639142e-01
-1.729999999999996163e+01,2.255847825260089701e-01,1.267831419103003232e-01
-1.719999999999996021e+01,2.256273963819137029e-01,1.251830591843890450e-01
-1.709999999999995879e+01,2.256688390029279456e-01,1.271134639248550080e-01
-1.699999999999995737e+01,2.257081051537880301e-01,1.255475161570786535e-01
-1.689999999999995595e+01,2.257442113695036778e-01,1.252254142282910876e-01
-1.679999999999995453e+01,2.257762707776271860e-01,1.259268306084764255e-01
-1.669999999999995310e+01,2.258035580680941290e-01,1.243267900997139658e-01
-1.659999999999995168e+01,2.258255579371811206e-01,1.255339085159704604e-01
-1.649999999999995026e+01,2.258419926883960260e-01,1.262942989388756432e-01
-1.639999999999994884e+01,2.258528275706915278e-01,1.243276325635659652e-01
-1.629999999999994742e+01,2.258582554062621428e-01,1.238385407591765380e-01
-1.619999999999994600e+01,2.258586646354723282e-01,1.241014407186896706e-01
-1.609999999999994458e+01,2.258545966934800420e-01,1.265657763564430327e-01
-1.599999999999994316e+01,2.258466993858735672e-01,1.260063878883456445e-01
-1.589999999999994174e+01,2.258356825850703908e-01,1.245836621881677847e-01
-1.579999999999994031e+01,2.258222812463149820e-01,1.253216346938408055e-01
-1.569999999999993889e+01,2.258072287186082550e-01,1.252610023847932352e-01
-1.559999999999993747e+01,2.257912409813666033e-01,1.244402019693041511e-01
-1.549999999999993605e+01,2.257750101872979254e-01,1.232293088267423786e-01
-1.539999999999993463e+01,2.257592041180713216e-01,1.259210170499810710e-01
-1.529999999999993321e+01,2.257444671500466737e-01,1.242673729904050228e-01
-1.519999999999993179e+01,2.257314182336248864e-01,1.238702780482050653e-01
-1.509999999999993037e+01,2.257206422042086769e-01,1.256966468494628286e-01
-1.499999999999992895e+01,2.257126723046310457e-01,1.273321249521758847e-01
-1.489999999999992752e+01,2.257079638231821728e-01,1.265235636445856682e-01
-1.479999999999992610e+01,2.257068608786696740e-01,1.242354132587021320e-01
-1.469999999999992468e+01,2.257095602415873925e-01,1.247214054314347981e-01
-1.459999999999992326e+01,2.257160773462677239e-01,1.246291533261043583e-01
-1.449999999999992184e+01,2.257262201040759197e-01,1.252018410579190666e-01
-1.439999999999992042e+01,2.257395756918777197e-01,1.256568933496015339e-01
-1.429999999999991900e+01,2.257555142297616169e-01,1.262065832985097558e-01
-1.419999999999991758e+01,2.257732113739773783e-01,1.268908512109456210e-01
-1.409999999999991616e+01,2.257916896225690695e-01,1.267482929417148019e-01
-1.399999999999991473e+01,2.258098758877669088e-01,1.248342590115584239e-01
-1.389999999999991331e+01,2.258266709390636950e-01,1.262333435105673085e-01
-1.379999999999991189e+01,2.258410249078381393e-01,1.261181930595418887e-01
-1.369999999999991047e+01,2.258520123162966742e-01,1.241349973403664264e-01
-1.359999999999990905e+01,2.258589000920187273e-01,1.248307331565295664e-01
-1.349999999999990763e+01,2.258612026984793131e-01,1.247135985411198383e-01
-1.339999999999990621e+01,2.258587197227130416e-01,1.250886368187670294e-01
-1.329999999999990479e+01,2.258515528437418651e-01,1.239335677357198545e-01
-1.319999999999990337e+01,2.258401008798583132e-01,1.252649839886347816e-01
-1.309999999999990195e+01,2.258250334142782867e-01,1.239283252614128139e-01
-1.299999999999990052e+01,2.258072451893110566e-01,1.237999865129364579e-01
-1.289999999999989910e+01,2.257877949305352461e-01,1.250783895910883292e-01
-1.279999999999989768e+01,2.257678334298022227e-01,1.246530347454029020e-01
-1.269999999999989626e+01,2.257485265105676209e-01,1.253170348222072128e-01
-1.259999999999989484e+01,2.257309788645026072e-01,1.269775925223872726e-01
-1.249999999999989342e+01,2.257161646427312263e-01,1.240804362918621201e-01
-1.239999999999989200e+01,2.257048700906754413e-01,1.257004943059810975e-01
-1.229999999999989058e+01,2.256976524520430405e-01,1.245551885449334290e-01
-1.219999999999988916e+01,2.256948179033332613e-01,1.258133478617000367e-01
-1.209999999999988773e+01,2.256964195372917759e-01,1.255038195576412274e-01
-1.199999999999988631e+01,2.257022745609443826e-01,1.245904644323767435e-01
-1.189999999999988489e+01,2.257119981102932438e-01,1.250957135736933956e-01
-1.179999999999988347e+01,2.257250496116532112e-01,1.260768138512983472e-01
-1.169999999999988205e+01,2.257407866144561515e-01,1.249660062730355015e-01
-1.159999999999988063e+01,2.257585206016989865e-01,1.262813048569877694e-01
-1.149999999999987921e+01,2.257775694951379697e-01,1.262034696737502626e-01
-1.139999999999987779e+01,2.257973023698184312e-01,1.235484436002106806e-01
-1.129999999999987637e+01,2.258171731528201276e-01,1.256929962151148161e-01
-1.119999999999987494e+01,2.258367416183155729e-01,1.248706185702006671e-01
-1.109999999999987352e+01,2.258556815872467260e-01,1.263341494694895373e-01
-1.099999999999987210e+01,2.258737776810350040e-01,1.263108526563992140e-01
-1.089999999999987068e+01,2.258909130893798634e-01,1.272393259315069414e-01
-1.079999999999986926e+01,2.259070514832018373e-01,1.272209501182424152e-01
-1.069999999999986784e+01,2.259222164051938320e-01,1.244513779963090649e-01
-1.059999999999986642e+01,2.259364712484699944e-01,1.247855423796402213e-01
-1.049999999999986500e+01,2.259499023915833571e-01,1.261896153226819972e-01
-1.039999999999986358e+01,2.259626073260368462e-01,1.255793748370525320e-01
-1.029999999999986215e+01,2.259746888154431366e-01,1.269230302049699499e-01
-1.019999999999986073e+01,2.259862553574704669e-01,1.259356598012808526e-01
-1.009999999999985931e+01,2.259974275302378266e-01,1.235807650253239742e-01
-9.999999999999857891e+00,2.260083492026569996e-01,1.276087005336598579e-01
-9.899999999999856470e+00,2.260192020595131468e-01,1.266282573498724862e-01
-9.799999999999855049e+00,2.260302214259043152e-01,1.255587740777598660e-01
-9.699999999999853628e+00,2.260417109882868480e-01,1.244313024533984929e-01
-9.599999999999852207e+00,2.260540537580221776e-01,1.235152871505792449e-01
-9.499999999999850786e+00,2.260677166016740736e-01,1.252617677472196156e-01
-9.399999999999849365e+00,2.260832459787754378e-01,1.264703588396892397e-01
-9.299999999999847944e+00,2.261012532684378296e-01,1.259133000635601352e-01
-9.199999999999846523e+00,2.261223892543688108e-01,1.267743842996826853e-01
-9.099999999999845102e+00,2.261473089014334747e-01,1.242681416912751885e-01
-8.999999999999843681e+00,2.261766293154625074e-01,1.227464941500557988e-01
-8.899999999999842260e+00,2.262108854578802897e-01,1.256969583230114762e-01
-8.799999999999840838e+00,2.262504894633717845e-01,1.248778156912697668e-01
-8.699999999999839417e+00,2.262956999714105522e-01,1.281173177670378860e-01
-8.599999999999837996e+00,2.263466075048790049e-01,1.256962709416128976e-01
-8.499999999999836575e+00,2.264031405326064894e-01,1.260757281793521978e-01
-8.399999999999835154e+00,2.264650945423412332e-01,1.265439145188581582e-01
-8.299999999999833733e+00,2.265321835157688424e-01,1.267086251959384513e-01
-8.199999999999832312e+00,2.266041100707024969e-01,1.260890911497118960e-01
-8.099999999999830891e+00,2.266806477221081084e-01,1.241164696208548884e-01
-7.999999999999829470e+00,2.267617266953713129e-01,1.259157846535594039e-01
-7.899999999999828049e+00,2.268475138700413174e-01,1.265792211998938432e-01
-7.799999999999826628e+00,2.269384779192291091e-01,1.283474157016888939e-01
-7.699999999999825206e+00,2.270354324920434153e-01,1.255696840252002178e-01
-7.599999999999823785e+00,2.271395530957351638e-01,1.267227019303460434e-01
-7.499999999999822364e+00,2.272523667303102124e-01,1.263613756191018789e-01
-7.399999999999820943e+00,2.273757167785885880e-01,1.241938795976457316e-01
-7.299999999999819522e+00,2.275117086304851988e-01,1.276327766108799333e-01
-7.199999999999818101e+00,2.276626435901623058e-01,1.251010211300110364e-01
-7.099999999999816680e+00,2.278309495160757148e-01,1.252394992355469194e-01
-6.999999999999815259e+00,2.280191163225706585e-01,1.255762051427440351e-01
-6.899999999999813838e+00,2.282296430820038857e-01,1.249198127560337546e-01
-6.799999999999812417e+00,2.284650013347840070e-01,1.270487029222871211e-01
-6.699999999999810996e+00,2.287276167722270825e-01,1.258914839614558856e-01
-6.599999999999809575e+00,2.290198691545949905e-01,1.285739762100634453e-01
-6.499999999999808153e+00,2.293441085461570272e-01,1.254684003003557202e-01
-6.399999999999806732e+00,2.297026849288660855e-01,1.273736732470728827e-01
-6.299999999999805311e+00,2.300979880446883674e-01,1.247745342685346870e-01
-6.199999999999803890e+00,2.305324947653300260e-01,1.281016733340661351e-01
-6.099999999999802469e+00,2.310088220902464795e-01,1.294497759580119367e-01
-5.999999999999801048e+00,2.315297846400380111e-01,1.276658354585026023e-01
-5.899999999999799627e+00,2.320984558728032554e-01,1.266266055484173980e-01
-5.799999999999798206e+00,2.327182319581753700e-01,1.295177765950889237e-01
-5.699999999999796785e+00,2.333928962544513652e-01,1.258016606410982119e-01
-5.599999999999795364e+00,2.341266808466584137e-01,1.276905798757156096e-01
-5.499999999999793943e+00,2.349243200373366258e-01,1.303488956254387210e-01
-5.399999999999792522e+00,2.357910895975945942e-01,1.286811774864773106e-01
-5.299999999999791100e+00,2.367328255540680770e-01,1.274990988854833307e-01
-5.199999999999789679e+00,2.377559177298231297e-01,1.312558787965038276e-01
-5.099999999999788258e+00,2.388672762924575754e-01,1.318549047858786072e-01
-4.999999999999786837e+00,2.400742738934844300e-01,1.320203062413593253e-01
-4.899999999999785416e+00,2.413846708643243855e-01,1.310796401379441811e-01
-4.799999999999783995e+00,2.428065352522736919e-01,1.333451565517909665e-01
-4.699999999999782574e+00,2.443481719547747344e-01,1.334913387080857161e-01
-4.599999999999781153e+00,2.460180747002267965e-01,1.363927932511820873e-01
-4.499999999999779732e+00,2.478249104739015662e-01,1.366760724403187632e-01
-4.399999999999778311e+00,2.497775383375794300e-01,1.352521520420245371e-01
-4.299999999999776890e+00,2.518850545372121608e-01,1.346855040933147563e-01
-4.199999999999775468e+00,2.541568453289499430e-01,1.389911465254180245e-01
-4.099999999999774047e+00,2.566026206652521346e-01,1.392331297885858743e-01
-3.999999999999772626e+00,2.592323984226750921e-01,1.431493758744734057e-01
-3.899999999999771205e+00,2.620564122993002676e-01,1.481825830271386313e-01
-3.799999999999769784e+00,2.650849277279680449e-01,1.510209399950486753e-01
-3.699999999999768363e+00,2.683279682989994641e-01,1.511918976022954553e-01
-3.599999999999766942e+00,2.717949774924248163e-01,1.575811894499993815e-01
-3.499999999999765521e+00,2.754944624664144581e-01,1.561546519447470360e-01
-3.399999999999764100e+00,2.794336826382422534e-01,1.586485290010441751e-01
-3.299999999999762679e+00,2.836184503192080153e-01,1.589365140246768726e-01
-3.199999999999761258e+00,2.880530998201530912e-01,1.545512093670103060e-01
-3.099999999999759837e+00,2.927406544248165043e-01,1.589758671750664820e-01
-2.999999999999758415e+00,2.976831807012949027e-01,1.580766285708326280e-01
-2.899999999999756994e+00,3.028822740850319883e-01,1.621793512505609880e-01
-2.799999999999755573e+00,3.083395785867950600e-01,1.670011067685141515e-01
-2.699999999999754152e+00,3.140572174445432352e-01,1.737593720439092881e-01
-2.599999999999752731e+00,3.200380090614631801e-01,1.816373220804976263e-01
-2.499999999999751310e+00,3.262853678940375590e-01,1.824158338520606160e-01
-2.399999999999749889e+00,3.328028417782354920e-01,1.894307769155889887e-01
-2.299999999999748468e+00,3.395933084729750862e-01,1.901003152991167788e-01
-2.199999999999747047e+00,3.466579328727280584e-01,1.922451750784266722e-01
-2.099999999999745626e+00,3.539950567035319851e-01,1.931479403253948679e-01
-1.999999999999744205e+00,3.615992375532124381e-01,1.951739154442022062e-01
-1.899999999999742784e+00,3.694606587957794397e-01,1.950252419210230237e-01
-1.799999999999741362e+00,3.775650876179456605e-01,1.968256059671635860e-01
-1.699999999999739941e+00,3.858944666733381545e-01,2.016662436021167126e-01
-1.599999999999738520e+00,3.944281003950074749e-01,2.018478073217589985e-01
-1.499999999999737099e+00,4.031442655557549437e-01,2.054096319843866369e-01
-1.399999999999735678e+00,4.120219686313782437e-01,2.071033415006282297e-01
-1.299999999999734257e+00,4.210425179258951434e-01,2.097409403660934479e-01
-1.199999999999732836e+00,4.301905925116732976e-01,2.095340771878876907e-01
-1.099999999999731415e+00,4.394545726205227321e-01,2.139466840242356394e-01
-9.999999999997299938e-01,4.488260312689171805e-01,2.130725297335283042e-01
-8.999999999997285727e-01,4.582984480213462275e-01,2.128653347374162008e-01
-7.999999999997271516e-01,4.678653622122935229e-01,2.114153999093997816e-01
-6.999999999997257305e-01,4.775183054108327885e-01,2.112193180457870856e-01
-5.999999999997243094e-01,4.872449172636295622e-01,2.138322311114685403e-01
-4.999999999997228883e-01,4.970276388409929358e-01,2.118064218835830348e-01
-3.999999999997214672e-01,5.068432882256950212e-01,2.160853896782339301e-01
-2.999999999997200462e-01,5.166636643596184131e-01,2.126222324249677775e-01
